probe_id	b1	b2	b3	c1	c2	c3	b_mean	b_std	c_mean	c_std	fold_change	log2_fold_change	abs_log2_fold_change	p_value	fwer
1779361_at	1.9947943029265702	1.9947943029265702	2.07740653554482	1.9745667454440798	2.04366007194732	1.87978776403508	2.02233171379932	0.047696194740502434	1.9660048604754934	0.08227097137376278	1.028650414073851	0.04075276690334691	0.04075276690334691	0.36292072202787135	1.0
1779362_at	2.06647509714351	1.7704593561395703	2.05587942749793	1.78862141598846	1.89084801149235	1.66978774523823	1.9642712935936704	0.16792965008774804	1.7830857242396798	0.11063405100347158	1.1016134933340063	0.13961813583354862	0.13961813583354862	0.1936491946731479	1.0
1779363_at	2.27693857929142	2.49079867182364	2.07900693485305	1.81660151170508	2.20824074193786	1.97390890099222	2.2822480619893697	0.20594720589074217	1.99958371821172	0.19707795118625568	1.1413615950176088	0.19075592457539456	0.19075592457539456	0.16101112799391248	1.0
1779364_at	8.13470129399655	8.270222818340441	8.254432955436	9.187007281172392	9.2756354785942	9.32347498902682	8.219785689257664	0.07410698806689811	9.262039249597803	0.06924234184335676	0.8874704012525753	-0.17222909107644063	0.17222909107644063	5.854012959733263e-05	0.639726536239651
1779365_at	7.541039063616401	7.499122261529571	7.51498412316841	7.34365159971941	7.25989969914728	7.305993954527089	7.518381816104793	0.021163950771632252	7.30318175113126	0.04194671117400733	1.029466617743725	0.04189704881774754	0.04189704881774754	0.001366658774020071	1.0
1779366_at	1.49628188472773	1.3112093886245502	1.29632837614748	1.05092224884623	1.07312186628324	1.13813968262312	1.3679398831665868	0.1113961990223457	1.0873945992508633	0.045326629793426755	1.2579976800592894	0.33112926166867707	0.33112926166867707	0.015598754020675397	1.0
1779367_at	8.34481581612019	8.32824434568509	8.34178822953708	7.9043389999797204	8.04706262043441	8.02001265428532	8.33828279711412	0.008824366858268963	7.990471424899817	0.07580910983601359	1.0435282668217118	0.06146968037429414	0.06146968037429414	0.0013931936206764484	1.0
1779368_at	1.1155925731196399	1.2837216444296498	1.10253267523525	1.03868018110296	1.05314197808779	0.94869186676628	1.1672822975948465	0.10105063756193906	1.01350467531901	0.05659338307061374	1.1517285771054124	0.20380076313316062	0.20380076313316062	0.0829650857542198	1.0
1779369_at	2.65482550748419	1.8626589020278002	1.73881224833776	5.25954364057033	4.99547711431844	4.80704755713774	2.08543221928325	0.496981927129915	5.02068943734217	0.22729919116584638	0.4153676990599177	-1.267539065074467	1.267539065074467	0.0007429019237846782	1.0
1779370_at	1.5905910446348799	1.5545275049583602	1.1809504259831498	1.20223200636302	1.3116057824249299	1.22447715320426	1.4420229918587968	0.2268133775004694	1.24610498066407	0.057805518015010306	1.157224322376369	0.21066855105817617	0.21066855105817617	0.22072121102244593	1.0
1779371_at	5.12174051000936	4.89467986335441	4.7700509586942	4.5150185733742	4.74425565479323	4.547653150637	4.928823777352657	0.17831360092097406	4.6023091262681435	0.1240075264994946	1.0709458322173315	0.09888551130410998	0.09888551130410998	0.0598062282123245	1.0
1779372_at	6.561757749661719	6.65840445123425	6.532397466346871	6.04506377332171	5.78662769907261	5.76491568929601	6.584186555747614	0.0659297244566593	5.865535720563443	0.15585440044322135	1.1225209204105124	0.16674233270918323	0.16674233270918323	0.0018196865130856576	1.0
1779373_at	8.75656534344999	8.833110980467119	8.778721282830269	8.18559851551512	8.1410210605453	8.06297520844741	8.789465868915793	0.03938772948776579	8.129864928169276	0.06206821510442312	1.0811330749741064	0.11254411307169351	0.11254411307169351	0.00010006871742545546	1.0
1779374_at	1.1911759016034498	1.19325603737034	1.3578542703168701	1.22459818332323	1.16635450299118	1.4837390152107501	1.24742873643022	0.09563697319455465	1.2915639005083868	0.1689572064393982	0.965828121968418	-0.05016162388692755	0.05016162388692755	0.713856634655536	1.0
1779375_at	1.40744185609047	1.09768847090701	1.32177323930467	1.54941330482121	1.12499638399874	1.07206518905462	1.2756345221007166	0.15994804102293034	1.2488249592915235	0.2616590203886708	1.0214678307073575	0.03064376970034843	0.03064376970034843	0.8869766807601911	1.0
1779376_at	1.32433153479566	1.1410284649001898	1.17361276473928	1.0415950487313699	1.16641506498668	1.04112098030618	1.2129909214783767	0.09779050710269653	1.0830436980080766	0.07220211083568581	1.1199833614371217	0.1634772996485432	0.1634772996485432	0.13773381147151015	1.0
1779377_at	8.82321589542611	8.52491065723855	8.684294312377599	8.79535093360608	8.898154915296189	8.99165593320623	8.677473621680752	0.14926953858279554	8.895053927369501	0.09818923215706907	0.9755391808228089	-0.03572827756960025	0.03572827756960025	0.10257517075718077	1.0
1779379_at	10.389432476454699	10.5302312336003	10.4148669837596	9.74739924312451	9.655773622609509	9.598150605422711	10.444843564604867	0.07503345289146782	9.66710782371891	0.07526710470087168	1.0804517498995645	0.1116346467139401	0.1116346467139401	0.00022312831325381477	1.0
1779380_at	10.4351635967869	10.409645221803801	10.4985457583307	9.875944386287099	9.91676845206645	9.94268611281577	10.4477848589738	0.04577443110608203	9.911799650389773	0.03364715823934571	1.0540754683800484	0.07597816295225873	0.07597816295225873	8.208160870065676e-05	0.8969878198807771
1779382_at	1.26732953871746	1.12275216309638	1.47858366062804	1.3084370967133898	1.22904091838228	1.26732953871746	1.28955512081396	0.17895389359707195	1.2682691846043765	0.039706428751411914	1.016783452967221	0.024012457370951635	0.024012457370951635	0.8504105182041165	1.0
1779383_at	1.42652012648732	1.41571785128122	1.33876452159274	1.23017213310914	1.14131408232782	1.6191965388212999	1.3936674997870933	0.04785316132048448	1.3302275847527534	0.25416772141396365	1.0476910235222128	0.06721331176508549	0.06721331176508549	0.6928007716086393	1.0
1779384_at	2.0769202555623303	2.0669786879205803	2.10643272128511	1.82323183474206	2.0204900554398	2.0995031709883603	2.083443888256007	0.02052007614079111	1.9810750203900735	0.14229062354493868	1.0516733928863415	0.07268673160496014	0.07268673160496014	0.2849705664010245	1.0
1779385_at	1.62003739474116	1.38722467328249	1.5377256272305	1.5071628345063002	1.62003739474116	1.59720584976152	1.51499589841805	0.11805897359863712	1.574802026336327	0.059679268302348314	0.9620230816838534	-0.05585658609854362	0.05585658609854362	0.47735958826609554	1.0
1779386_at	2.02678684014856	2.48766117821964	2.02678684014856	1.8701265560351101	2.14785877961105	1.93452157015153	2.1804116195055867	0.2660859231479286	1.9841689685992299	0.1453700283159411	1.0989042032266532	0.13606562509179693	0.13606562509179693	0.32502912246938104	1.0
1779387_at	8.704436742143951	8.82961445665623	8.82418472747916	9.07451691990909	9.09423539296126	9.03719765848905	8.786078642093115	0.07075606235663433	9.068649990453133	0.028967938041245252	0.9688408584896879	-0.045668386443193765	0.045668386443193765	0.0030584533075742586	1.0
1779388_at	9.94193524840475	9.98973873320921	9.77036945163734	9.97958672102277	10.038108599273	9.94469263538637	9.900681144417101	0.11535660469261182	9.987462651894047	0.04720337162252229	0.9913109554947384	-0.012590420339389917	0.012590420339389917	0.29429062705760356	1.0
1779389_at	3.4689548638042402	3.29206133457946	3.76426306544699	3.7992264880588	3.7807821431634903	4.21565669000291	3.5084264212768965	0.23856261556572683	3.9318884404084002	0.2459234902832654	0.892300601721162	-0.16439828210180377	0.16439828210180377	0.09900837728381892	1.0
1779390_at	1.4469987669858102	1.80339484343387	1.7415681550022	1.51734449158793	1.50945400924822	1.48830007874383	1.6639872551406267	0.19044326673419415	1.5050328598599931	0.015018468656936738	1.1056152324112183	0.1448493974422294	0.1448493974422294	0.2229732604410947	1.0
1779391_at	1.02394484315611	1.20252649487833	1.28487740357969	1.69050920069548	1.44278630708754	1.32185759289922	1.1704495805380433	0.133390953956769	1.4850510335607467	0.1879248049369298	0.7881544499730928	-0.3434497210736704	0.3434497210736704	0.07728344516834304	1.0
1779392_at	1.4710273907077398	1.1765012011429599	1.07640125881331	1.8528538679990199	1.3244277708315901	1.00890833161829	1.2413099502213365	0.20514038232712242	1.3953966568163	0.42642520349725166	0.889574977951772	-0.16881188651635037	0.16881188651635037	0.602875914118703	1.0
1779393_at	7.32214752963886	7.39391091291378	7.420621935561349	7.707483971476161	7.63484222053941	7.518964394519969	7.37889345937133	0.05092587837849752	7.6204301955118465	0.09508253032487983	0.9683040550279205	-0.04646795874843847	0.04646795874843847	0.017862245818813398	1.0
1779394_at	6.83189263235075	6.64089794546303	6.504843735137889	7.98059430399494	8.0524276282357	7.96757110244591	6.659211437650558	0.16429176269403786	8.000197678225517	0.045698760412032316	0.8323808617598564	-0.26468430011872596	0.26468430011872596	0.0001682507574078707	1.0
1779395_at	1.51215346737156	1.64179189166338	1.78185551651823	1.4604659080867801	1.3244277708315901	1.48830007874383	1.6452669585177233	0.13488460214461032	1.4243979192207334	0.08768813027287072	1.1550613324525383	0.2079694591529173	0.2079694591529173	0.07616577307821436	1.0
1779396_at	1.4592787954049298	1.57499301401151	1.62315110331716	1.36502315768247	1.3885870671130902	1.25549069243025	1.5524743042445335	0.08422501138199505	1.3363669724086034	0.07102495303952248	1.1617125657082266	0.21625315710409423	0.21625315710409423	0.027342206076822955	1.0
1779397_at	1.48830007874383	1.7003598422150799	1.85616187416748	1.48830007874383	1.77294206967769	1.4620336962995601	1.68160726504213	0.1846464716588118	1.5744252815736932	0.17242148091529225	1.0680768942945993	0.09501551502557053	0.09501551502557053	0.5031937746487724	1.0
1779398_at	6.405206827454539	6.404759507175259	6.49961716416134	6.404759507175259	6.471149441042889	6.439874262228019	6.43652783293038	0.054637421335889017	6.438594403482056	0.03321346652405118	0.999679033897436	-0.00046313053304027687	0.00046313053304027687	0.9580421732125171	1.0
1779399_at	8.297483711910441	8.162773497297549	8.38906154900285	7.66168016965917	7.61900439346794	7.681708139995691	8.283106252736946	0.11382707975415801	7.654130901040934	0.032026294660119754	1.0821746269861252	0.11393332093825197	0.11393332093825197	0.0007712015631415258	1.0
1779400_at	8.40967420238524	8.57834464976325	8.62027026838874	8.08172381348825	8.03628407332669	7.92375268283418	8.536096373512411	0.11147359951424889	8.01392018988304	0.08132543877558966	1.0651586453641726	0.091068322314753	0.091068322314753	0.0028017296581063613	1.0
1779402_at	8.676413468366361	8.852636594029939	8.72444154408235	7.60781305688643	7.5280675627055	7.55231166021847	8.751163868826216	0.09109999717040485	7.562730759936801	0.0408809758903278	1.1571433846600863	0.21056764363400626	0.21056764363400626	3.2708304588822134e-05	0.3574363525466483
1779403_at	6.93815505955021	6.819552768888481	6.81131857529855	7.8416635317849	7.76920041770597	7.86028869441823	6.85634213457908	0.07097158942328897	7.8237175479697	0.048122887381410226	0.876353484458081	-0.19041518463796828	0.19041518463796828	4.0447017587520505e-05	0.4420050081964241
1779404_at	7.12845865191313	7.361686846375981	7.32059853004094	6.78633452137851	6.63737795784349	6.6878469623560095	7.27024800944335	0.12449991512622242	6.70385314719267	0.0757572631488866	1.084487957867613	0.11701403344252301	0.11701403344252301	0.0025373224950142876	1.0
1779405_at	1.27734864184475	1.19086954513815	1.34873035236721	1.34110570996721	1.2697746323166998	1.42773670528967	1.2723161797833697	0.07905063485230239	1.3462056825245263	0.07910443359599711	0.945112768650187	-0.08144161627739298	0.08144161627739298	0.3162869264814431	1.0
1779406_at	1.16641506498668	1.1898850550420301	1.05181747217992	1.23017213310914	1.3072279064233998	1.2412310194979	1.1360391974028767	0.07387614200774138	1.25954368634348	0.04166429377191641	0.9019450533715563	-0.1488885479287991	0.1488885479287991	0.06520750389249186	1.0
1779407_at	4.45951128539688	4.440700605214389	4.19884759076661	3.75556260135017	3.7417929215183996	3.94119340366476	4.366353160459293	0.14536866007081728	3.812849642177776	0.11136198568244976	1.145167937428913	0.19555918323906923	0.19555918323906923	0.006360638930440986	1.0
1779408_at	9.13559832108852	8.97185864269589	9.01305692565367	10.3758780702331	10.5086384460574	10.448940014958401	9.04017129647936	0.08517078371710073	10.4444855104163	0.06649218980669154	0.8655449124290119	-0.20831941306840968	0.20831941306840968	2.306182167268131e-05	0.25201958723906137
1779409_at	0.9860037794076121	1.07729385985724	1.18259257055609	1.1807738377102501	0.91787524828591	1.08195306930998	1.0819634032736474	0.09837754661554259	1.06020071843538	0.1327922838750645	1.020526947831524	0.029314278391800213	0.029314278391800213	0.8307652202268534	1.0
1779410_at	5.1993806481805	4.33750643547229	4.781273521591941	5.2396118118737105	4.96257790301337	4.939471232509111	4.7727202017482435	0.43100076460849907	5.04722031579873	0.16701600335574096	0.9456136057323968	-0.08067730135431658	0.08067730135431658	0.36179806947346266	1.0
1779411_at	6.80719375612038	6.83174093050404	6.99332606421179	7.1871271051254	7.2951464942007105	7.397534093151389	6.877420250278736	0.1011249683320996	7.293269230825833	0.10521605505281098	0.9429818141376897	-0.08469814679331188	0.08469814679331188	0.00784136429087505	1.0
1779412_at	10.862559629921401	10.6640741739621	10.6458768646633	11.9857687639637	11.9568271813575	11.9439971350346	10.724170222848933	0.1201936209157163	11.962197693451934	0.02139740745896423	0.8965050150207188	-0.15761644138067898	0.15761644138067898	6.170026762824402e-05	0.6742605246414507
1779413_at	9.86852339285001	9.98187749871353	9.96095651367891	9.67488937471677	9.531204499145801	9.5052533774408	9.937119135080815	0.06031959708793784	9.570449083767791	0.09137393479306652	1.0383127320467045	0.05424103812789042	0.05424103812789042	0.004393146677476898	1.0
1779414_at	8.63492544552851	8.646358299034901	8.5954865430978	8.284896043669269	8.14886096832635	8.06206688303391	8.62559009588707	0.02668980053741337	8.165274631676509	0.11231769658336956	1.0563747681461693	0.07912174779037562	0.07912174779037562	0.002305690656659079	1.0
1779415_at	1.1846536135827	0.926616618541408	1.1312627869824199	0.893003089287848	0.830620392720475	1.2363700037248702	1.0808443397021759	0.13620678240123724	0.9866644952443977	0.2184892009502362	1.0954527551277191	0.13152726487333602	0.13152726487333602	0.5607791730528225	1.0
1779416_at	1.69050920069548	1.71785264471095	1.7580021278905	1.60847886864905	1.61894908086578	1.77204399349254	1.72212132443231	0.033948343483309024	1.6664906476691232	0.0915616619926385	1.0333819315703907	0.04737356392700544	0.04737356392700544	0.37964301371750053	1.0
1779418_at	1.58877470378351	1.7906790241444799	1.81802577214864	1.93166194227232	1.64090090316283	1.70437101020498	1.7324931666922099	0.12521265348290592	1.7589779518800432	0.15287882137606704	0.9849430829081595	-0.021887737200240055	0.021887737200240055	0.8278240297709665	1.0
1779419_at	1.2454214179091299	1.17283919044653	1.80194826926064	1.23034569191171	1.2454214179091299	1.2454214179091299	1.4067362925387668	0.3441822552720666	1.24039617590999	0.008703974462839425	1.1341024100680936	0.18155092231398678	0.18155092231398678	0.44977667118037773	1.0
