	b1	b2	b3	c1	c2	c3	b_mean	b_std	c_mean	c_std	fold_change	log2_fold_change	abs_log2_fold_change	p_value	fwer	FWER
1769348_at	1.9282789165611	1.79206739288282	1.87419991175079	1.23190012272346	1.56288884539478	1.73785657722124	1.86484874039824	0.0685855531430511	1.51088184844649	0.256956278889377	1.23427834037168	0.303667771304879	0.303667771304879	0.0824607034259735	1	1
1769349_s_at	7.45812218781991	7.917851537057	7.69549268244394	4.77420334268261	4.51364592724782	4.18656740285517	7.69048880244028	0.229905519178657	4.49147222426187	0.294444823816452	1.71224231575965	0.775886885738393	0.775886885738393	0.000120304468663424	1	1
1769350_at	6.269476629172	6.21351129209503	6.6193881653574	5.7220180645508	5.68943435907404	5.78584424795255	6.36745869554148	0.219964481359682	5.73243222385913	0.049041387663545	1.11077784208931	0.151570303527313	0.151570303527313	0.00815757273354741	1	1
1769351_at	2.02663874387709	2.07900693485305	2.09062381832107	1.97861593236237	1.85850967256709	2.07900693485305	2.06542316568374	0.0340868233564569	1.9720441799275	0.11039543295105	1.04735136601233	0.0667455195983502	0.0667455195983502	0.234139570612929	1	1
1769352_at	7.24009545375367	6.90644236941764	7.03337596901494	7.84777511090054	8.2024389129343	8.01537362649147	7.05997126406208	0.168408958968102	8.02186255010877	0.177420919610805	0.88009127804943	-0.184274935273635	0.184274935273635	0.00242889565472397	1	1
1769353_at	1.63821878629739	1.65852268425454	1.87340487239538	1.6969740815455	1.56655047113578	1.66452449357744	1.72338211431577	0.13031954198977	1.64268301541957	0.0678996845660349	1.04912639756952	0.0691885026639238	0.0691885026639238	0.395370878409886	1	1
1769354_at	1.64591315169152	1.53940518988334	1.22631889620506	1.0480966673679	1.32442777083159	1.32514851926415	1.47054574592664	0.218107890906837	1.23255765248788	0.15974830560338	1.19308475588009	0.254696534688262	0.254696534688262	0.202018292793609	1	1
1769355_at	1.43214248279635	1.19325603737034	1.29402658098037	1.0480966673679	1.31165716573732	1.09899031049671	1.30647503371569	0.119928755658083	1.15291471453398	0.139810282484033	1.1331931297657	0.180393760196988	0.180393760196988	0.222249786363001	1	1
1769356_at	8.92726403780558	8.98792068651876	8.89410916064856	8.68592374901245	8.65490772946847	8.66412452908053	8.93643129499097	0.0475728867081972	8.66831866918715	0.0159276952354571	1.03093017643166	0.0439466241444317	0.0439466241444317	0.000757363520516547	1	1
1769357_at	1.7997713967491	1.97456674544408	1.5927402681528	2.06998747748146	1.79494939010445	1.84745402640216	1.78902613678199	0.191139896800714	1.90413029799602	0.146015879952617	0.939550270622147	-0.0899577398018929	0.0899577398018929	0.453778045388444	1	1
1769358_at	7.09244052705623	6.96019675419631	7.04101667701167	7.06590666955519	7.04818431759341	7.05477039403734	7.03121798608807	0.0666641929593298	7.05628712706198	0.0089580019572075	0.996447261779107	-0.00513464424667603	0.00513464424667603	0.553743170796561	1	1
1769359_at	5.12783696818544	4.9611646023755	5.19437993924656	5.17994205851399	5.26940938853209	5.30563695555339	5.09446050326917	0.120136753933594	5.25166280086649	0.0646993648791545	0.970066185976109	-0.0438449115855302	0.0438449115855302	0.116720102352429	1	1
1769360_at	1.38754311221316	1.64434675176807	1.37515415199873	1.3264478542931	1.11543135217879	1.05363989565885	1.46901467199332	0.151968336282277	1.16517303404358	0.143044474760825	1.2607695415807	0.334304586844378	0.334304586844378	0.0652425444217632	1	1
1769361_at	6.59919898570567	6.68282609575285	6.72058535011298	6.69847222923581	6.74657989732257	6.77556408793394	6.66753681052383	0.0621207215679013	6.74020540483077	0.0389392383756943	0.989218638017343	-0.0156386728688908	0.0156386728688908	0.161161167220198	1	1
