probe_id	b1	b2	b3	c1	c2	c3	b_mean	b_std	c_mean	c_std	fold_change	log2_fold_change	abs_log2_fold_change	p_value	fdr
1777684_at	1.26325469138293	1.66079708643248	1.32373869524337	1.71427894912585	1.29269550516817	1.37162480682787	1.41593015768626	0.21420653182373361	1.45953308704063	0.22411838245061128	0.9701254259039924	-0.04375681188477599	0.04375681188477599	0.8195212581264704	0.9447747334409737
1777685_at	1.36662766828309	1.57938952079097	1.59859349067725	1.48830007874383	1.31589375434001	1.3244277708315901	1.51487022658377	0.1287403984128377	1.3762072013051434	0.09716901377874	1.1007573751591502	0.13849651047502146	0.13849651047502146	0.21071519682457965	0.9111215630145474
1777686_at	7.77780014948516	8.18388628380895	7.94323518234085	8.11955430024132	8.04946798310984	7.977781045986349	7.968307205211654	0.20420073915300962	8.048934443112502	0.07088813302808704	0.9899828681087295	-0.014524535663231	0.014524535663231	0.5534339842397007	0.9111215630145474
1777687_at	1.65696448841099	1.69050920069548	2.01909179534488	1.4164630269409901	1.5716105287026298	1.48830007874383	1.7888551614837833	0.20009495898030227	1.4921245447958167	0.0776444249843902	1.1988645101529185	0.2616686215748018	0.2616686215748018	0.07479474745032444	0.9111215630145474
1777688_at	1.1853900075047	1.8128314006148702	1.3999996178218201	1.4001127036066299	1.36669042188686	1.2821651197763302	1.4660736753137968	0.3188965525873517	1.3496560817566066	0.06079090960502453	1.0862572288828354	0.1193657779959155	0.1193657779959155	0.5681619748469449	0.9111215630145474
1777689_at	7.802468351795991	7.96078988027057	7.9839412869538995	7.72389460258673	7.9262726098676	7.79490905136833	7.915733173006821	0.0987708798219146	7.81502542127422	0.10267772743583142	1.0128864266338087	0.018472416075816355	0.018472416075816355	0.28801014114359474	0.9111215630145474
1777690_at	8.39192443523134	2.4399830719608397	2.46533688952532	8.144679739177219	3.2922455234469803	8.45438637834208	4.432414798905834	3.4290593643348	6.630437213655426	2.895103171049046	0.6684951016167151	-0.5810111058464674	0.5810111058464674	0.44403963918206296	0.9111215630145474
1777691_at	7.938972700021441	7.95732249780715	8.06611925985117	7.913316224772901	7.95494659683017	7.96171549097042	7.987471485893255	0.06872614517849629	7.943326104191164	0.026208760539073134	1.0055575436691184	0.007995643145650202	0.007995643145650202	0.35726044832600506	0.9111215630145474
1777692_at	6.449354886337451	6.914375349661441	7.07513273377175	6.55783937796414	6.817335804029599	6.28680545659891	6.812954323256881	0.3249833026981418	6.55399354619755	0.2652860818111547	1.0395119060209594	0.05590628215879155	0.05590628215879155	0.3452187099179318	0.9111215630145474
1777693_at	6.56937108072984	7.85747681304154	7.71619241667488	6.695387102908049	7.57552868017456	6.362491517651019	7.38101343681542	0.7064437739893292	6.877802433577877	0.6267545804087331	1.0731645039381814	0.10187124182134007	0.10187124182134007	0.4082881069046801	0.9111215630145474
1777694_at	1.8819683438533703	2.28208727063104	2.1674906933528	2.3016092366046097	2.3133684717102203	2.11727324132169	2.1105154359457368	0.20605441965383656	2.2440836498788403	0.109978314641527	0.9404798417651165	-0.08853107351759579	0.08853107351759579	0.3780015758438959	0.9111215630145474
1777695_at	1.66744400036591	2.30053324669772	2.3570791318981	1.69050920069548	1.69050920069548	2.07239990452964	2.1083521263205767	0.38288293371854004	1.8178061019735334	0.22048470065966785	1.1598333419783369	0.21391751744346138	0.21391751744346138	0.31828746836954197	0.9111215630145474
1777696_at	1.77462502844895	1.60649595713894	1.6224634402964802	1.62452642935852	1.60649595713894	1.9330041429959	1.6678614752947898	0.09280399959685164	1.7213421764977868	0.18352619847994894	0.9689308134470929	-0.0455344412803821	0.0455344412803821	0.6757431059982913	0.9114638513821541
1777697_at	5.2200206555365405	8.22954085117682	8.279349637966218	5.025733314037209	8.38349449164494	5.1576562570754	7.24297038155986	1.752102857803652	6.188961354252517	1.9016657656013163	1.1703046710064071	0.22688416239872233	0.22688416239872233	0.5191274492302536	0.9111215630145474
1777698_at	1.56502471815192	2.10116316038393	1.7739050969698602	1.65193401050002	1.9240457705343799	1.4837825972169798	1.81336432516857	0.27023856188055384	1.6865874594171266	0.2221678680328563	1.0751676795908685	0.10456167530258874	0.10456167530258874	0.5642703832213977	0.9111215630145474
1777699_at	6.06445172647762	6.13980399077188	6.57368406860178	6.0987323318556905	6.387983916414269	6.13980399077188	6.259313261950427	0.274847674157041	6.208840079680614	0.15649634491346118	1.0081292450155055	0.011680608272349366	0.011680608272349366	0.795928616902523	0.9384881231668938
1777700_at	7.80482889434679	8.27282551534011	8.384992311907551	7.89920997133436	8.424236453353268	7.94321519698338	8.154215573864818	0.3077314355595227	8.088887207223669	0.2912532448417921	1.0080763107418296	0.01160485407761978	0.01160485407761978	0.8026314557575827	0.939566091594352
1777701_at	6.25638824362985	6.92763272413188	7.006834228297611	6.352568585821031	6.73706270189896	6.315145095858379	6.7302850653531126	0.4123128275897883	6.468258794526123	0.23354182679859437	1.0405095527483739	0.05729021028174535	0.05729021028174535	0.3924223223680894	0.9111215630145474
1777702_at	0.8413190241320141	0.9248674246662321	1.1181232335558302	1.12641877769601	0.920230300510297	1.05116884807125	0.9614365607846921	0.14197929030680428	1.0326059754258523	0.10434010356367182	0.9310778589947539	-0.10302628039118841	0.10302628039118841	0.5227171822543201	0.9111215630145474
1777703_at	4.66439560981786	5.217821919478349	5.17340657198076	4.90442016532158	5.07000565292087	4.631051095139799	5.018541367092323	0.3075021850653423	4.868492304460751	0.22167179418843588	1.030820437467692	0.043793046055799326	0.043793046055799326	0.5306349536004459	0.9111215630145474
1777704_at	1.12758114951163	1.40896181432446	1.3254620247809699	1.20675269237281	1.33249391252719	0.9674344140676842	1.2873349962056866	0.14451305257177605	1.1688936729892279	0.18545104034593957	1.1013277135067103	0.13924382430797683	0.13924382430797683	0.4321512919266891	0.9111215630145474
1777705_at	5.96803632721777	6.74526882553159	6.712122967358919	5.930624849688099	6.518372313113019	5.65065857469312	6.475142706702759	0.4394796036954179	6.033218579164746	0.4428610255561049	1.073248486150355	0.10198413782192069	0.10198413782192069	0.2871600418562705	0.9111215630145474
1777706_at	8.43288045510772	9.794912990027608	9.83357842836708	8.51864742273944	9.67690468664342	8.43529440452104	9.353790624500801	0.7977658861465521	8.876948837967966	0.6940345461748125	1.0537168564601067	0.07548725344718236	0.07548725344718236	0.478401687037535	0.9111215630145474
1777707_at	7.96614764313096	5.55807748229038	5.32503402532414	7.63997662155888	5.3611334582416	7.88819063934932	6.283086383581828	1.4622238938531373	6.9631002397166	1.3928839601233642	0.9023403609420896	-0.14825637712451809	0.14825637712451809	0.5910367519446397	0.9111215630145474
1777708_at	1.69050920069548	1.9200642672986998	1.4922678908379299	1.4955208041715402	1.22551201345693	1.36320472188236	1.700947119610703	0.21408911121703922	1.3614125131702766	0.13501331702777433	1.2493987701418752	0.32123401488552883	0.32123401488552883	0.08082619911999053	0.9111215630145474
1777709_at	1.31309994865902	1.42776493866131	1.3911633298621002	1.43522980129818	1.3911633298621002	1.3641514424392598	1.3773427390608102	0.05856851996276538	1.3968481911998467	0.03587856617594145	0.986036097364108	-0.020287632325823403	0.020287632325823403	0.6485762854325632	0.9111215630145474
1777710_at	6.19862542657996	5.992786979276099	5.35459440583326	6.0393102753496395	6.1223517504066205	6.179481531580111	5.848668937229774	0.4400847628902061	6.113714519112125	0.07048366187729661	0.9566473735314611	-0.06394085900258384	0.06394085900258384	0.3612058731096107	0.9111215630145474
1777711_at	8.18226283091627	7.0825696682680706	7.34895086342924	8.02463681294995	6.91579060760371	8.13472810565329	7.5379277875378605	0.5736858647186337	7.69171850873565	0.6742240755109064	0.980005674801655	-0.02913799159369821	0.02913799159369821	0.7784853019368091	0.9342477314304926
1777712_at	1.2984212342296002	1.06969036358542	1.3166210980528201	0.9045131327557281	1.1179946953550501	1.10313135777441	1.2282442319559468	0.13761288327129725	1.041879728628396	0.11919486543992858	1.178873336534625	0.2374087169860071	0.2374087169860071	0.15090503247289913	0.9111215630145474
1777713_at	1.9235193979572702	2.11154549996377	2.15563354371125	2.1366122112536	2.11154549996377	1.7545080558449	2.0635661472107634	0.12327107480152444	2.000888589020757	0.21373958535969995	1.0313248616309423	0.04449884525788122	0.04449884525788122	0.68267950450035	0.9116840624629049
1777714_at	5.78334935528984	6.7289531583550595	6.8028281555576395	6.571091784274651	7.553075694547029	5.81760521888356	6.4383768897341795	0.5684717952221495	6.6472575659017465	0.8702386814506968	0.9685764130400097	-0.046062224308492064	0.046062224308492064	0.7453420080194428	0.9263172670483351
1777715_at	1.4827142333446202	1.4827142333446202	1.7186382791088701	1.2590163497408797	1.4827142333446202	1.4612254716925401	1.5613555819327036	0.1362108113302953	1.40098535159268	0.12341734008814292	1.1144695982422015	0.1563572616730872	0.1563572616730872	0.20526673513149424	0.9111215630145474
1777716_at	1.48830007874383	1.7534758708035099	1.83591858629334	1.6298591673635	1.62204164035826	1.6298591673635	1.6925648452802264	0.18163774792278373	1.6272533250284198	0.004513451320872399	1.0401360496532805	0.056772245023064126	0.056772245023064126	0.5672821576608735	0.9111215630145474
1777717_at	2.22936849888895	2.5184070996523498	2.7476597868078705	2.19797616046822	2.65150547152042	2.1414494768469097	2.4984784617830567	0.2597197099541299	2.33031036961185	0.27959530862989884	1.0721655339838778	0.10052766383775676	0.10052766383775676	0.4878322965173519	0.9111215630145474
1777718_at	8.04675544657395	8.60717111448877	8.65546897794191	7.8563130452118894	8.48493134097617	8.0381407557291	8.43646517966821	0.33836138661914983	8.126461713972386	0.3234821234491271	1.0381474098577015	0.05401131110552748	0.05401131110552748	0.31531182368861715	0.9111215630145474
1777719_at	1.65819159397951	1.62080509439228	1.78605930861662	1.5122345046934	1.6660776906200099	1.2959054439075	1.6883519989961366	0.08665723485549974	1.4914058797403034	0.18596302528224368	1.132054004836113	0.17894278383304582	0.17894278383304582	0.17170992065496593	0.9111215630145474
1777720_at	10.833567133217098	10.8580844215657	10.713149134392301	10.7732980713833	10.810643469068001	10.8166283319214	10.801600229725032	0.07757558608326533	10.800189957457567	0.02348051954955485	1.0001305784688066	0.0001883726109582398	0.0001883726109582398	0.9774013272319441	0.9944253485373094
1777721_at	7.115864238331441	6.35679414689684	6.314259729466451	6.92065485647305	6.3831085455399	7.072848992360161	6.595639371564911	0.4510296311421527	6.792204131457704	0.3623674413667419	0.971060239638203	-0.04236729900438061	0.04236729900438061	0.5878488572090137	0.9111215630145474
1777722_at	1.3244277708315901	1.45153589752744	1.48830007874383	1.42932592591799	1.4696814543931	1.45153589752744	1.4214212490342868	0.08598664062237009	1.4501810926128433	0.020211847809980553	0.9801681019528817	-0.02889889764305386	0.02889889764305386	0.6029083621895537	0.9111215630145474
1777723_at	8.06200602941182	8.33859325738489	8.274321015743741	8.08446618258275	8.39733096845104	8.14334530439716	8.224973434180152	0.14474636964044393	8.208380818476982	0.16626276530787953	1.0020214237216942	0.0029133544080017057	0.0029133544080017057	0.9025665517615735	0.9742385878191738
1777724_at	6.703889689654339	6.631010893286719	6.720746590241441	6.81684527638852	6.59628974101148	6.77626377277306	6.685215724394166	0.0476934121330296	6.7297995967243525	0.11738984533713742	0.9933751560221962	-0.009589428977694983	0.009589428977694983	0.5751504423392556	0.9111215630145474
1777725_at	8.41230671393843	7.32110946652894	7.158955358064119	8.30666509606524	7.661131318822651	8.35568542650818	7.63079051284383	0.6816517939190114	8.107827280465356	0.38762573419486734	0.9411634274979096	-0.08748283466571587	0.08748283466571587	0.35146821366355097	0.9111215630145474
1777726_at	2.52127029806958	2.92485195870632	2.84720294715596	2.51036200492953	2.6143446936539	2.40591189360803	2.764441734643954	0.21414154880106834	2.5102061973971534	0.10421648737474691	1.1012807384152021	0.13918228751371334	0.13918228751371334	0.1381489676400781	0.9111215630145474
1777727_at	1.30539859507718	1.7301355265078797	1.48830007874383	1.27227669174104	1.4692709029894098	1.3244277708315901	1.5079447334429632	0.2130488196962796	1.355325121854013	0.10206696106720314	1.11260738041967	0.15394458077385761	0.15394458077385761	0.3258024597097161	0.9111215630145474
